EntityNumber,Language,TypeOfDenomination,Denomination
0211.336.571,1,1,Fabrique d'Eglise Saint-Remacle à Winenne (WL - Beauraing)
0211.336.670,2,1,Kerkfabriek Sint-Amandus (VL - Wingene)
0211.336.769,2,1,Kerkfabriek Sint-Joris te Wildenburg (VL - Wingene)
0211.336.868,2,1,Kerkfabriek Sint-Jan-Baptist (VL - Wingene)
0211.337.165,2,1,Kerkfabriek Maria Hemelvaart te Winksele (VL - Herent)
0211.337.264,1,1,Fabrique d'Eglise Saint-Pierre à Witry (WL - Léglise)
0211.337.363,1,1,Fabrique d'Eglise Saint Hubert à Witry ( WL - Léglise )
0211.337.462,1,1,Fabrique d'Eglise Saint Quentin ( WL - Ellezelles )
0211.337.561,2,1,Kerkfabriek Sint-Rictrudis te Woesten (VL - Vleteren)
0211.337.660,1,1,Fabrique d'Eglise Sainte Croix ( WL - Messancy )
0211.337.759,2,1,Kerkfabriek Sint-Stephanus te Sint-Stevens-Woluwe (VL - Zaventem)
0211.337.858,1,1,Fabrique d'Eglise Sainte-Famille (BR - Woluwé-Saint-Lambert)
0211.337.858,2,1,Kerkfabriek Heilige-Familie (BR - Sint-Lambrechts-Woluwe)
0211.337.957,1,1,Fabrique d'Eglise Notre-Dame de l'Assomption (BR - Woluwé-Saint-Lambert)
0211.337.957,2,1,Kerkfabriek Onze-Lieve-Vrouw Hemelvaart (BR - Sint-Lambrechts-Woluwe)
0211.338.056,1,1,Fabrique d'Eglise Saint-Henri (BR - Woluwé-Saint-Lambert)
0211.338.056,2,1,Kerkfabriek Sint-Henricus (BR - Sint-Lambrechts-Woluwe)
0211.338.155,1,1,ETABLISSEMENT de CULTE SAINT-LAMBERT(BR - Woluwe-Saint-Lambert)
0211.338.155,2,1,Instelling Sint Lambertus (BR - Sint-Lambrechts-Woluwe)
0211.338.254,1,1,Fabrique d'Eglise Saint-Pierre (BR - Woluwé-Saint-Pierre)
0211.338.254,2,1,Kerkfabriek Sint-Pieter (BR - Sint-Pieters-Woluwe)
0211.338.353,1,1,Fabrique d'Eglise Notre-Dame à Stockel (BR -  Woluwé-Saint-Pierre)
0211.338.353,2,1,Kerkfabriek Onze-Lieve-Vrouw te Stokkel (BR - Sint-Pieters-Woluwe)
0211.338.452,1,1,Fabrique d'Eglise Notre-Dame des Grâces (BR - Woluwé-Saint-Pierre)
0211.338.452,2,1,Kerkfabriek Onze-Lieve-Vrouw der Genade  (BR - Sint-Pieters-Woluwe)
0211.338.551,2,1,Kerkfabriek Sint-Jan Baptist (VL - Ravels)
0211.338.650,1,1,Fabrique d'Eglise Saint-Paul (BR - Woluwé-Saint-Pierre)
0211.338.650,2,1,Kerkfabriek Sint-Paulus (BR - Sint-Pieters-Woluwe)
0211.339.145,2,1,Kerkfabriek Sint-Laurentius te Wolvertem (VL - Meise)
0211.339.244,2,1,Kerkfabriek Sint-Jozef (VL - Wezembeek-Oppem)
0211.339.343,1,1,Fabrique d'Eglise Saint  Madeleine ( WL - Namur )
0211.339.541,2,1,Kerkfabriek Sint-Amelberga te Wechelderzande (VL - Lille)
0211.339.640,1,1,Fabrique d'Eglise Saint Genevieve à Wiesme ( WL - Beauraing )
0211.339.739,2,1,Kerkfabriek Sint-Domitianus te Werm (VL - Hoeselt)
0211.339.937,2,1,Kerkfabriek Sint-Michael te Westmeerbeek (VL - Hulshout)
0211.340.036,1,1,Fabrique d'Eglise Saint Pierre à Weillen ( WL - Onhaye )
0211.340.234,2,1,Kerkfabriek Sint-Jan Baptist (VL - Wellen)
0211.340.333,2,1,Kerkfabriek Onze-Lieve-Vrouw Ten Hemel Opgenomen te Voortkapel (VL - Westerlo)
0211.340.531,2,1,Kerkfabriek Sint-Salvator te Wieze (VL - Lebbeke)
0211.340.729,2,1,Kerkfabriek Sint-Michiel te Weelde (VL - Ravels)
0211.340.828,2,1,Kerkfabriek Sint-Jozef (VL -Wuustwezel)
0211.340.927,2,1,Kerkfabriek Sint-Anna te Ten Ede (VL - Wetteren)
0211.341.026,2,1,Kerkfabriek Sint-Pietersbanden te Wijer (VL - Nieuwerkerken)
0211.341.125,1,1,Fabrique d'Eglise Notre-Dame à Basse-Wavre (WL - Wavre)
0211.341.224,1,1,Fabrique d'Eglise Saint-Hubert à Wegnez (WL - Pepinster)
0211.341.422,2,1,Kerkfabriek Sint-Eligius te Westouter (VL - Heuvelland)
0211.341.521,1,1,Fabrique d'Eglise Assomption Notre Dame à Wépion ( WL - Namur )
0211.341.620,2,1,Kerkfabriek Sint-Kwinten te Wommersom (VL - Linter)
0211.341.719,2,1,Kerkfabriek Christus-Koning (VL - Wetteren)
0211.341.818,2,1,Kerkfabriek Onze-Lieve-Vrouw Middelares (VL - Ieper)
0211.341.917,2,1,Kerkfabriek Sint-Maarten en Sint-Niklaas (VL - Ieper)
0211.342.016,2,1,Kerkfabriek Heilige Kruisverheffing te Wenduine (VL - De Haan)
0211.342.115,1,1,Fabrique d'Eglise Sainte Walburge à Wéris ( WL - Durbuy )
0211.342.214,2,1,Kerkfabriek Sint-Pieter (VL - Diksmuide)
0211.342.412,2,1,Kerkfabriek Onze-Lieve-Vrouw Boodschap te Kandonklaar (VL - Wommelgem)
0211.342.511,1,1,Fabrique d'Eglise Notre-Dame du Perpétuel Secours (BR - Watermael-Boitsfort)
0211.342.511,2,1,Kerkfabriek Onze-Lieve-Vrouw van Altijddurende Bijstand (BR - Watermaal-Bosvoorde)
0211.342.610,1,1,Fabrique d'Eglise à Wibrin ( WL- Houffalize )
0211.342.709,2,1,Kerkfabriek Onze-Lieve-Vrouw van de Bloeiende Wijngaard (VL - Wijnegem)
0211.342.808,2,1,Kerkfabriek Sint-Gertrudis te Zandvliet (VL -Antwerpen)
0211.342.907,2,1,Kerkfabriek Onze-Lieve-Vrouw te Zandvoorde (VL - Oostende)
0211.343.006,2,1,Kerkfabriek Sint-Martinus te Westmalle (VL - Malle)
0211.343.105,1,1,Fabrique d'Eglise Saint-Jean-Baptiste (WL -Wavre)
0211.343.204,2,1,Kerkfabriek Sint-Jan Baptist te Werchter (VL - Rotselaar)
0211.343.402,2,1,Kerkfabriek Sint-Martinus (VL - Zaventem)
0211.343.501,1,1,Fabrique d'Eglise Saint-Hubert (BR - Watermael-Boitsfort)
0211.343.501,2,1,Kerkfabriek Sint-Hubertus (BR - Watermaal-Bosvoorde)
0211.343.697,2,1,Kerkfabriek Onze-Lieve-Vrouw Hemelvaart te Watervliet (VL - Sint-Laureins)
0211.343.796,2,1,Kerkfabriek Sint-Laurentius (VL - Zedelgem)
0211.343.895,2,1,Kerkfabriek Sint-Ludgerus (VL - Zele)
0211.343.994,1,1,Fabrique d'Eglise Saint-Martin à Ways (WL - Genappe)
0211.344.093,1,1,Fabrique d'Eglise Saint Martin à Wéris ( WL - Durbuy )
0211.344.192,2,1,Kerkfabriek Sint-Trudo te Wijchmaal (VL - Peer)
0211.344.291,2,1,Kerkfabriek Sint-Agnes te Wontergem (VL - Deinze)
0211.344.390,2,1,Kerkfabriek Onze-Lieve-Vrouw te Zandbergen (VL - Geraardsbergen)
0211.344.588,1,1,Fabrique d'Eglise Saint-Brice à Wez-Velvain (WL - Brunehaut)
0211.344.687,2,1,Kerkfabriek Sint-Martinus te Wezemaal (VL - Rotselaar)
0211.344.885,2,1,Kerkfabriek Heilig Hart te Kruiseke (VL - Wervik)
0211.344.984,2,1,Kerkfabriek Sint-Niklaas (VL - Ieper)
0211.345.182,1,1,Fabrique d'Eglise Sacré Coeur ( WL-Jodoigne )
0211.345.281,2,1,Kerkfabriek Sint-Eligius te Zeveneken (VL - Lochristi)
0211.345.380,2,1,Kerkfabriek Sint-Willibrordus te Wulpen (VL - Koksijde)
0211.345.479,2,1,Kerkfabriek Onze-Lieve-Vrouw te Zevergem (VL - De Pinte)
0211.345.578,2,1,Kerkfabriek Sint-Eustachius te Zichem (VL - Scherpenheuvel-Zichem)
0211.345.677,2,1,Kerkfabriek Heilig Hart en Sint-Antonius van Padua te Zichem (VL - Scherpenheuvel-Zichem)
0211.345.776,1,1,Fabrique d'Eglise Saint-Jean l'Evangéliste à Wihogne (WL - Juprelle)
0211.345.875,2,1,Kerkfabriek Sint-Andries te Zande (VL - Koekelare)
0211.346.073,2,1,Kerkfabriek Sint-Vedastus te Zerkegem (VL - Jabbeke)
0211.346.172,1,1,Fabrique d'Eglise Saint-Barthélemy à Zétrud-Lumay (WL - Jodoigne)
0211.346.271,1,1,Fabrique d'Eglise Saint-Georges à Xhendremael (WL - Ans)
0211.346.370,1,1,Fabrique d'Eglise Saint Laurent ( WL -  Yvoir )
0211.346.568,2,1,Kerkfabriek Sint-Job te Bolderberg (VL - Heusden-Zolder)
0211.346.766,1,1,Fabrique d'Eglise Saint-Martin à Xhoris (WL - Ferrières)
0211.346.865,2,1,Kerkfabriek Sint-Pieter (VL - Zemst)
0211.347.063,2,1,Kerkfabriek Sint-Quintinus (VL - Zonhoven)
0211.347.162,2,1,Kerkfabriek Sint-Jozef te Huivelde (VL - Zele)
0211.347.360,2,1,Kerkfabriek Sint-Eligius (VL - Zedelgem)
0211.347.459,2,1,Kerkfabriek Sint-Engelbertus en Sint-Bernardus te Laar (VL - Zemst)
0211.347.558,2,1,Kerkfabriek Sint-Niklaas te Zoerle-Parwijs (VL - Westerlo)
0211.347.657,2,1,Kerkfabriek Sint-Elisabeth (VL - Zoersel)
0211.347.756,2,1,Kerkfabriek Heilig Hart te Bevegem (VL - Zottegem)
0211.347.954,2,1,Kerkfabriek Onze-Lieve-Vrouw Hemelvaart (VL - Zottegem)
0211.348.053,2,1,Kerkfabriek Sint-Quirinus te Viversel (VL - Heusden-Zolder)
0211.348.251,2,1,Kerkfabriek Sint-Bartholomeus te Zandvoorde (VL - Zonnebeke)
0211.348.350,2,1,Kerkfabriek Sint-Jozef te Wiemesmeer (VL - Zutendaal)
0211.348.449,2,1,Kerkfabriek Sint-Michiel (VL - Zuienkerke)
0211.348.548,2,1,Kerkfabriek Sint-Amandus (VL - Zwevegem)
0211.348.647,2,1,Kerkfabriek Sint-Maria-Bernarda te Knokke (VL - Zwevegem)
0211.348.746,2,1,Kerkfabriek Sint-Jozef te Halveweg (VL - Zonhoven)
0211.348.944,2,1,Kerkfabriek Sint-Leonardus (VL - Zoutleeuw)
0211.349.241,2,1,Kerkfabriek Sint-Jan in de Olie te Zulzeke (VL - Kluisbergen)
0211.349.340,2,1,Kerkfabriek Sint-Leonardus te Zuidschote (VL - Ieper)
0211.349.439,2,1,Kerkfabriek Onze-Lieve-Vrouw Tenhemelopneming (VL - Zutendaal)
0211.349.538,2,1,Kerkfabriek Sint-Petrus (VL - Zulte)
0211.349.637,2,1,Kerkfabriek Sint-Aldegondis te Zwevezele (VL - Wingene)
0211.349.835,2,1,Kerkfabriek Sint-Niklaas te Zwijnaarde (VL - Gent)
0211.349.934,2,1,Kerkfabriek Heilig Kruis (VL - Zwijndrecht)
0211.350.231,2,1,Kerkfabriek Sint-Gaugericus te Dworp (VL - Beersel)
0211.350.330,1,1,Fabrique d'Eglise Saint-Martin à Trazegnies (WL - Courcelles)
0211.350.429,1,1,Fabrique d'Eglise Sainte-Gertrude à Trembleur (WL - Blégny)
0211.350.528,1,1,Fabrique d'Eglise Saint Fiacre à Tournay ( WL - Neufchâteau )
0211.350.627,1,1,Fabrique d'Eglise de Tourneppe
0211.350.726,1,1,Fabrique d'Eglise à Tournay ( WL - Neufchâteau )
0211.350.825,2,1,Kerkfabriek Onze-Lieve-Vrouw van Bijstand (VL - Tremelo)
0211.350.924,1,1,Fabrique d'Eglise Saint-Martin à Trivières (WL - La Louvière)
0211.351.023,2,1,Kerkfabriek Heilige Damiaan van Molokai te Ninde (VL - Tremelo)
0211.351.122,1,1,Fabrique d'Eglise Saint-Trudon à Trognée (WL - Hannut)
0211.351.221,1,1,Fabrique d'Eglise Sainte-Gertrude (WL - Tubize)
0211.351.320,2,1,Kerkfabriek Sint-Pieter (VL - Turnhout)
0211.351.419,1,1,Fabrique d'Eglise Christ Ressuscité (WL - Tubize)
0211.351.518,2,1,Kerkfabriek van Turnhout
0211.351.617,2,1,Kerkfabriek Onze-Lieve-Vrouw Middelares (VL - Turnhout)
0211.352.211,2,1,Kerkfabriek van de Pinksterkerk te Turnhout-Stokt (VL - Turnhout)
0211.352.310,1,1,Fabrique d'Eglise Notre-Dame du Rosaire (BR - Uccle)
0211.352.310,2,1,Kerkfabriek Onze-Lieve-Vrouw van de Rozenkrans (BR - Ukkel)
0211.352.508,1,1,Fabrique d'Eglise orthodoxe-russe Saint-Job (BR-Uccle)
0211.352.508,2,1,Russisch-orthodoxe kerkfabriek Sint-Job (BR-Ukkel)
0211.352.607,1,1,Fabrique d'Eglise Saint-Pierre (BR - Uccle)
0211.352.607,2,1,Kerkfabriek Sint-Pieter (BR - Ukkel)
0211.352.706,1,1,Fabrique d'Eglise Sainte-Anne (BR - Uccle)
0211.352.706,2,1,Kerkfabriek Sint-Anna (BR - Ukkel)
0211.352.805,1,1,Fabrique d'Eglise Sacré-Coeur de Jésus (BR - Uccle)
0211.352.805,2,1,Kerkfabriek Heilig Hart van Jezus (BR - Ukkel)
0211.352.904,1,1,Fabrique d'Eglise Précieux-Sang (BR - Uccle)
0211.352.904,2,1,Kerkfabriek Kostbaar-Bloed (BR - Ukkel)
0211.353.102,1,1,Fabrique d'Eglise Saint-Marc (BR - Uccle)
0211.353.102,2,1,Kerkfabriek Sint-Marcus (BR - Ukkel)
0211.353.201,1,1,Fabrique d'Eglise Saint-Nicolas à Ucimont (WL - Bouillon)
0211.353.496,1,1,Fabrique d'Eglise Notre-Dame de la Consolation (BR - Uccle)
0211.353.496,2,1,Kerkfabriek Onze-Lieve-Vrouw van Troost (BR - Ukkel)
0211.353.595,2,1,Kerkfabriek Sint-Pietersbanden te Uitbergen (VL - Berlare)
0211.353.694,2,1,Kerkfabriek Sint-Niklaas te Uikhoven (VL - Maasmechelen)
0211.353.793,2,1,Kerkfabriek Sint-Amandus te Uitkerke (VL - Blankenberge)
0211.353.892,1,1,Fabrique d'Eglise Saint-Pierre à Upigny (WL - Eghezée)
0211.353.991,2,1,Kerkfabriek Sint-Medardus te Ursel (VL - Knesselare)
0211.354.090,2,1,Kerkfabriek Onze-Lieve-Vrouw te Haasrode (VL - Oud-Heverlee)
0211.354.189,2,1,Kerkfabriek Sint-Stephanus te Val-Meer (VL - Riemst)
0211.354.288,2,1,Kerkfabriek Heilige Mauritius en Gezellen te Varsenare (VL - Jabbeke)
0211.354.486,1,1,Fabrique d'Eglise Saint-Pierre à Vaulx (WL - Tournai)
0211.354.585,1,1,Fabrique d'Eglise à Vaucelles ( WL -  Doische )
0211.354.783,2,1,Kerkfabriek Sint Maternus te Heks (VL - Heers)
0211.354.882,1,1,Fabrique d'Eglise Sacré Coeur et Saint Charles ( WL - Namur )
0211.354.981,1,1,Fabrique d'Eglise Notre-Dame à  Vaux-sous-Chèvremont (WL - Chaudfontaine)
0211.355.080,1,1,Fabrique d'Eglise à Vedrin ( WL - Namur )
0211.355.278,2,1,Kerkfabriek Onze-Lieve-Vrouw en Sint-Jozef te Laakdal(VL - Laakdal)
0211.355.377,1,1,Fabrique d'Eglise Notre Dame du Mont Carmel ( WL - Namur )
0211.355.476,1,1,Fabrique d'Eglise Saint-Martin à Velaines (WL - Celles (lez-Tournai))
0211.355.575,1,1,Fabrique d'Eglise Saint Martin à Velaine ( WL - Sambreville )
0211.355.674,2,1,Kerkfabriek Onze-Lieve-Vrouw te Veldegem (VL - Zedelgem)
0211.355.773,2,1,Kerkfabriek Sint-Lambertus te Veldwezelt (VL - Lanaken)
0211.355.872,1,1,Fabrique d'Eglise Saint Amand à Vellereille-Le-Sec ( WL - Estinnes )
0211.355.971,2,1,Kerkfabriek Sint-Martinus te Velm (VL - Sint-Truiden)
0211.356.070,2,1,Kerkfabriek Sint-Michiels te Kesselt (VL - Lanaken)
0211.356.169,2,1,Kerkfabriek Sint-Michiel Veltem-Beisem (VL - Herent)
0211.356.367,1,1,Fabrique d'Eglise Saint-André à Velroux (WL - Grâce-Hollogne)
0211.356.466,2,1,Kerkfabriek Sint-Martinus te Velzeke-Ruddershove (VL - Zottegem)
0211.356.565,1,1,Fabrique d'Eglise à Verlée ( WL - Havelange )
0211.356.664,1,1,Fabrique d'Eglise Saint-Remi (WL - Verlaine)
0211.356.763,2,1,Kerkfabriek Sint-Laurentius te Verrebroek (VL - Beveren)
0211.356.862,1,1,Fabrique d'Eglise Saint-Remacle (WL - Verviers)
0211.356.961,1,1,Fabrique d'Eglise Notre Dame des Récollets (WL - Verviers)
0211.357.060,1,1,"Fabrique d'Eglise Saint-Antoine, Saint-Hubert et Saint-Jean-Baptiste (WL - Verviers)"
0211.357.258,1,1,Fabrique d'Eglise Sainte Julienne ( WL- Verviers )
0211.357.357,1,1,Fabrique d'Eglise Sainte-Anne (WL - Verviers)
0211.357.456,1,1,Fabrique d'Eglise  à Verviers ( WL- Verviers )
0211.357.555,1,1,Fabrique d'Eglise Saint-Joseph (WL - Verviers)
0211.357.654,2,1,Kerkfabriek Onze-Lieve-Vrouw Hemelvaart te Veulen (VL - Heers)
0211.357.753,1,1,Fabrique d'Eglise Saint Martin à Vezin ( WL - Andenne )
0211.357.852,1,1,Fabrique d'Eglise Marie-Médiatrice (WL - Verviers)
0211.357.951,2,1,Kerkfabriek Sint-Amandus te Viane (VL - Geraardsbergen)
0211.358.050,2,1,Kerkfabriek Sint-Stephanus en Sint-Theodoricus te Vichte (VL - Anzegem)
0211.358.149,1,1,Fabrique d'Eglise Saint Gengoul à Vielsalm ( WL - Vielsalm )
0211.358.248,1,1,Fabrique d'Eglise Saint Servais à Vielsalm ( WL- Vielsalm )
0211.358.347,1,1,Fabrique d'Eglise Saint Isidore à Vielsalm ( WL - Vielsalm )
0211.358.446,1,1,Fabrique d'Eglise Saint Fiacre à Vielsalm ( WL- Vielsalm )
0211.358.545,1,1,Fabrique d'Eglise Notre-Dame à Viemme (WL - Faimes)
0211.358.644,1,1,Fabrique d'Eglise Saint Donat à Vielsalm ( WL - Vielsalm )
0211.358.743,1,1,Fabrique d'Eglise Saint-Martin à Vierset-Barse (WL - Modave)
0211.358.842,1,1,Fabrique d'Eglise Saints-Ruffin et Valère à Treignes (WL - Viroinval)
0211.358.941,1,1,Fabrique d'Eglise Saint-Georges à Viesville (WL - Pont-à-Celles)
0211.359.139,1,1,Fabrique d'Eglise Saint-Géry à Vieux-Genappe (WL - Genappe)
0211.359.238,1,1,Fabrique d'Eglise Saints-Pierre-et-Paul à Vieuxville (WL - Ferrières)
0211.359.436,1,1,Fabrique d'Eglise Saint-Sacrement à Villance (WL - Libin)
0211.359.535,1,1,Fabrique d'Eglise Saint Jean-Baptiste à Villance ( WL - Libin )
0211.359.634,1,1,Fabrique d'Eglise Annonciation de la Vierge à Ville-en-Hesbaye (WL - Braives)
0211.359.733,1,1,Fabrique d'Eglise Saint Pierre de Ville-en-Waret à Vezin ( WL - Andenne )
0211.359.832,1,1,Fabrique d'Eglise Saint Lambert ( WL - Le Roeulx )
0211.359.931,1,1,Fabrique d'Eglise Saint-Léger à Gottignies (WL - Le Roeulx)
0211.360.030,1,1,Fabrique d'Eglise de la chapelle Saint-Pierre à Villers-aux-Tours (WL - Anthisnes)
0211.360.129,1,1,Fabrique d'Eglise Saint Michel à Villers-en-Fagne ( WL - Doische )
0211.360.228,1,1,Fabrique d'Eglise Saint Lambert à Villers-La-Bonne-Eau ( WL - Bastogne )
0211.360.327,1,1,Fabrique d'Eglise à Villers-la-Bonne-Eau ( WL - Bastogne )
0211.360.426,1,1,Fabrique d'Eglise Notre-Dame de la Visitation (WL - Villers-la-Ville)
0211.360.723,1,1,Fabrique d'Eglise Saint-Martin à Villers-le-Peuplier (WL - Hannut)
0211.360.822,1,1,Fabrique d'Eglise Saint-Pierre à Villers-le-Temple (WL - Nandrin)
0211.360.921,1,1,Fabrique d'Eglise Notre-Dame à Villers-l'Evêque (WL - Awans)
0211.361.020,1,1,Fabrique d'Eglise Saint-Georges à Villers-lez-Heest  (WL - La Bruyère)
0211.361.119,1,1,Fabrique d'Eglise Sainte-Radegonde à Villers-Poterie (WL - Gerpinnes)
0211.361.218,1,1,Fabrique d'Eglise Saint Lambert à Villers-Saint-Siméon (WL - Juprelle)
0211.361.317,1,1,Fabrique d'Eglise de la Chapelle de Deux Rys à Villers-Ste-Gertrude (WL - Durbuy)
0211.361.416,1,1,Fabrique d'Eglise Saint Lambert à Villers-sur-Lesse ( WL - Rochefort )
0211.361.515,1,1,Fabrique d'Eglise Saint-Lambert à Villers-sur-Lesse (WL - Rochefort)
0211.361.614,1,1,Fabrique d'Eglise de Villers-sur-Semois ( WL- Etalle )
0211.361.713,1,1,Fabrique d'Eglise Saint-Martin à Villers-sur-Semois (WL - Etalle)
0211.361.812,2,1,Kerkfabriek Sint-Jozef te Far-West (VL - Vilvoorde)
0211.361.911,2,1,Kerkfabriek Onze-Lieve-Vrouw van Goede Hoop (VL - Vilvoorde)
0211.362.208,2,1,Kerkfabriek Sint-Antonius Abt te Houtem (VL - Vilvoorde)
0211.362.307,2,1,Kerkfabriek Sint-Aloysius van Gonzaga te Koningslo (VL - Vilvoorde)
0211.362.604,1,1,Fabrique d'Eglise Sainte-Barbe à Vinalmont (WL - Wanze)
0211.362.703,1,1,Fabrique d'Eglise Saint Pierre  à Vinalmont ( WL - Wanze )
0211.362.901,2,1,Kerkfabriek Sint-Audomarus te Vinkem (VL - Veurne)
0211.363.097,2,1,Kerkfabriek Sint-Bartholomeus te Vinkt (VL - Deinze)
0211.363.295,1,1,Fabrique d'Eglise Saint Laurent à Virton ( WL - Virton )
0211.363.394,1,1,Fabrique d'Eglise Saint-Martin et Saint-Hadelin (WL - Visé)
0211.363.493,1,1,Fabrique d'Eglise Notre-Dame du Mont Carmel à Devant-le-Pont (WL - Visé)
0211.363.790,1,1,Fabrique d'Eglise Saint-Pierre à Vitrival (WL - Fosses-la-Ville)
0211.363.889,1,1,Fabrique d'Eglise Saint-Pierre à Vivegnis (WL - Oupeye)
0211.363.988,1,1,Fabrique d'Eglise Saint Nicolas de Vivy
0211.364.087,1,1,Fabrique d'Eglise Saint Paul de Vivy
0211.364.186,2,1,Kerkfabriek Sint-Martinus te Vladslo (VL - Diksmuide)
0211.364.285,2,1,Kerkfabriek Sint-Vedastus te Vlamertinge (VL - Ieper)
0211.364.384,2,1,Kerkfabriek Onze-Lieve-Vrouw-Hemelvaart (VL - Ieper)
0211.364.483,2,1,Kerkfabriek Sint-Lambertus te Vlekkem (VL - Erpe-Mere)
0211.364.582,2,1,Kerkfabriek Onze-Lieve-Vrouw-ten-Hemel-Opgenomen te Vlezenbeek (VL - Sint-Pieters-Leeuw)
0211.364.879,2,1,Kerkfabriek Sint-Fledericus te Vlierzele (VL - Sint-Lievens-Houtem)
0211.364.978,2,1,Kerkfabriek Sint-Quirinus te Vlimmeren (VL - Beerse)
0211.365.077,2,1,Kerkfabriek Sint-Blasius te Vlissegem (VL - De Haan)
0211.365.176,2,1,kerkfabriek Sint-Albanus te Vlijtingen (VL - Riemst)
0211.365.275,2,1,Kerkfabriek Onze-Lieve-Vrouw van Lourdes te Vlijtingen (VL - Riemst)
0211.365.374,1,1,Fabrique d'Eglise de l'Immaculée Conception à Vodelée (WL - Doische)
0211.365.473,1,1,Fabrique d'Eglise à Vogenée ( WL - Walcourt )
0211.365.572,2,1,Kerkfabriek Sint-Paulus te Vollezele (VL - Galmaarden)
0211.365.671,1,1,Fabrique d'Eglise Saint-Denis à Vonêche (WL - Beauraing)
0211.365.770,2,1,Kerkfabriek Sint-Pietersbanden te Voorde (VL - Ninove)
0211.365.869,2,1,Kerkfabriek Onze-Lieve-Vrouw Geboorte te Hollebeke (VL - Ieper)
0211.365.968,1,1,Fabrique d'Eglise Saints-Joseph-et-Damien à Voroux-Lez-Liers (WL - Juprelle)
0211.366.067,2,1,Kerkfabriek Sint-Petrus (VL - Vorselaar)
0211.366.166,2,1,Kerkfabriek Sint-Gertrudis te Vorst (VL - Laakdal)
0211.366.265,2,1,Kerkfabriek Sint-Niklaas te Vorst-Meerlaar (VL - Laakdal)
0211.366.364,2,1,Kerkfabriek van Vorst (Vl.)
0211.366.463,2,1,Kerkfabriek Onze-Lieve-Vrouw (VL - Vosselaar)
0211.366.562,2,1,Kerkfabriek Sint-Jozef-Arbeider (VL - Vosselaar)
0211.366.661,2,1,Kerkfabriek Sint-Eligius te Vosselare (VL - Nevele)
0211.366.760,2,1,Kerkfabriek Sint-Paulus te Vossem (VL - Tervuren)
0211.366.859,1,1,Fabrique d'Eglise Saint-Etienne à Vottem (WL - Herstal)
0211.366.958,2,1,Kerkfabriek Sint-Cunibertus te Diets-Heur (VL - Tongeren)
0211.367.057,2,1,Kerkfabriek Sint-Jan in de Olie te Vremde (VL - Boechout)
0211.367.156,1,1,Fabrique d'Eglise Saint-Lambert (WL - Vresse-sur-Semois)
0211.367.255,1,1,Fabrique d'Eglise Sainte Agathe ( WL - Vresse-sur-Semois)
0211.367.354,1,1,Fabrique d'Eglise Saint-Fiacre (WL - Vresse-sur-Semois)
0211.367.453,2,1,Kerkfabriek Sint-Petrus en Paulus te Vroenhoven (VL - Riemst)
0211.367.552,2,1,Kerkfabriek Sint-Remigius te Vucht (VL - Maasmechelen)
0211.367.651,2,1,Kerkfabriek Sint-Martinus te Vurste (VL - Gavere)
0211.367.750,1,1,Fabrique d'Eglise Saint-Martin à Vyle-et-Tharoul (WL - Marchin)
0211.367.948,2,1,Kerkfabriek Sint-Amandus te Waarbeke (VL - Geraardsbergen)
0211.368.047,2,1,Kerkfabriek Sint-Blasius te Waardamme (VL - Oostkamp)
0211.368.245,1,1,Fabrique d'Eglise Saint Amand à Taintignies ( WL - Rumes )
0211.368.344,1,1,Fabrique d'Eglise Saint Martin à Tamines ( WL - Sambreville )
0211.368.443,1,1,Fabrique d'Eglise Notre Dame des Alloux à Tamines ( WL- Sambreville )
0211.368.740,2,1,Kerkfabriek Onze-Lieve-Vrouw (VL - Temse)
0211.368.839,2,1,Kerkfabriek Sint-Jozef te Velle (VL - Temse)
0211.368.938,2,1,Kerkfabriek Christus-Koning te Hollebeke (VL - Temse)
0211.369.037,2,1,Kerkfabriek Heilig Hart te Cauwerburg (VL - Temse)
0211.369.136,1,1,Fabrique d'Eglise Saint Antoine à Tavigny ( WL - Houffalize )
0211.369.235,1,1,Fabrique d'Eglise Saint Hubert ( WL - Houffalize )
0211.369.334,1,1,Fabrique d'Eglise Saint-Georges à Tavigny (WL - Houffalize)
0211.369.433,1,1,Fabrique d'église Saint Sébastien de Cetturu à Houffalize ( WL - Houffalize )
0211.369.532,1,1,Fabrique d'Eglise Saint-Etienne à Templeuve (WL - Tournai)
0211.369.631,1,1,Fabrique d'Eglise Saint Hilaire à Temploux ( WL - Namur )
0211.369.730,1,1,Fabrique d'Eglise Sainte Gertrude à Tennle ( WL - Tenneville )
0211.369.829,1,1,Fabrique d'Eglise SAint Valère à Tenneville ( WL - Tenneville )
0211.369.928,1,1,Fabrique d'Eglise à Tenneville ( WL - Tenneville )
0211.370.027,2,1,Kerkfabriek Sint-Jan Evangelist te Teralfene (VL - Affligem)
0211.370.225,2,1,Kerkfabriek Onze-Lieve-Vrouw (VL - Dendermonde)
0211.370.423,2,1,Kerkfabriek Sint-Egidius (VL - Dendermonde)
0211.370.522,2,1,Kerkfabriek Sint-Gertrudis (VL -Ternat)
0211.370.621,1,1,Fabrique d'Eglise Saint Christophe ( WL - Saint-Ghislain )
0211.370.720,1,1,Fabrique d'Eglise Sacré Coeur ( WL - Saint-Ghislain )
0211.370.819,2,1,Kerkfabriek Sint-Jan Evangelist (VL - Tervuren)
